DRUG,DOSE,ID,OBS,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YNAME,MDV,STUDY,SPECIES,SEX
Vinorelbine,10,5092,.,0,hours,1,0,1.914,0.01595,0.1914,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5093,.,0,hours,1,0,1.889,0.0157416666666667,0.1889,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5094,.,0,hours,1,0,1.948,0.0162333333333333,0.1948,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5095,.,0,hours,1,0,1.909,0.0159083333333333,0.1909,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5096,.,0,hours,1,0,1.913,0.0159416666666667,0.1913,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5097,.,0,hours,1,0,3.848,0.0160333333333333,0.1924,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5098,.,0,hours,1,0,4.332,0.01805,0.2166,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5099,.,0,hours,1,0,4.048,0.0168666666666667,0.2024,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5100,.,0,hours,1,0,3.86,0.0160833333333333,0.193,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5101,.,0,hours,1,0,4.052,0.0168833333333333,0.2026,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5102,.,0,hours,1,0,4.11,0.017125,0.2055,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5103,.,0,hours,1,0,3.854,0.0160583333333333,0.1927,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5104,.,0,hours,1,0,4.18,0.0174166666666667,0.209,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5105,.,0,hours,1,0,4.234,0.0176416666666667,0.2117,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5106,.,0,hours,1,0,3.868,0.0161166666666667,0.1934,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5107,.,0,hours,1,0,3.77,0.0157083333333333,0.1885,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,20,5108,.,0,hours,1,0,4.12,0.0171666666666667,0.206,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Docetaxel,15,5109,.,0,hours,1,0,3.075,0.0170833333333333,0.205,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5110,.,0,hours,1,0,3.18,0.0176666666666667,0.212,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5111,.,0,hours,1,0,2.9025,0.016125,0.1935,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5112,.,0,hours,1,0,3.1425,0.0174583333333333,0.2095,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5113,.,0,hours,1,0,3.189,0.0177166666666667,0.2126,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5114,.,0,hours,1,0,3.0585,0.0169916666666667,0.2039,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5115,.,0,hours,1,0,3.285,0.01825,0.219,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5116,.,0,hours,1,0,3.282,0.0182333333333333,0.2188,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5117,.,0,hours,1,0,3.2475,0.0180416666666667,0.2165,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5118,.,0,hours,1,0,2.928,0.0162666666666667,0.1952,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5119,.,0,hours,1,0,3.186,0.0177,0.2124,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,15,5120,.,0,hours,1,0,3.1215,0.0173416666666667,0.2081,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5121,.,0,hours,1,0,0.9375,0.015625,0.1875,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5122,.,0,hours,1,0,1.031,0.0171833333333333,0.2062,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5123,.,0,hours,1,0,0.9575,0.0159583333333333,0.1915,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5124,.,0,hours,1,0,0.9965,0.0166083333333333,0.1993,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5125,.,0,hours,1,0,0.9575,0.0159583333333333,0.1915,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5126,.,0,hours,1,0,0.9365,0.0156083333333333,0.1873,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5127,.,0,hours,1,0,1.0625,0.0177083333333333,0.2125,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5128,.,0,hours,1,0,0.9725,0.0162083333333333,0.1945,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5129,.,0,hours,1,0,0.919,0.0153166666666667,0.1838,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5130,.,0,hours,1,0,0.956,0.0159333333333333,0.1912,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5131,.,0,hours,1,0,1.0375,0.0172916666666667,0.2075,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,5,5132,.,0,hours,1,0,0.9745,0.0162416666666667,0.1949,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5133,.,0,hours,1,0,1.951,0.0162583333333333,0.1951,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5134,.,0,hours,1,0,2.065,0.0172083333333333,0.2065,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5135,.,0,hours,1,0,1.865,0.0155416666666667,0.1865,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5136,.,0,hours,1,0,1.842,0.01535,0.1842,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5137,.,0,hours,1,0,2.002,0.0166833333333333,0.2002,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5138,.,0,hours,1,0,1.856,0.0154666666666667,0.1856,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5139,.,0,hours,1,0,1.942,0.0161833333333333,0.1942,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5140,.,0,hours,1,0,2.04,0.017,0.204,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5141,.,0,hours,1,0,2.104,0.0175333333333333,0.2104,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5142,.,0,hours,1,0,1.989,0.016575,0.1989,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5143,.,0,hours,1,0,1.977,0.016475,0.1977,mg,1,Docetaxel,0,0470-2008,Rat,Male
Docetaxel,10,5144,.,0,hours,1,0,1.949,0.0162416666666667,0.1949,mg,1,Docetaxel,0,0470-2008,Rat,Male
Irinotecan,34,5145,.,0,hours,1,0,6.7694,0.0265466666666667,0.1991,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5146,.,0,hours,1,0,7.1434,0.0280133333333333,0.2101,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5147,.,0,hours,1,0,6.2798,0.0246266666666667,0.1847,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5148,.,0,hours,1,0,7.1672,0.0281066666666667,0.2108,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5149,.,0,hours,1,0,6.5824,0.0258133333333333,0.1936,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5150,.,0,hours,1,0,6.562,0.0257333333333333,0.193,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5151,.,0,hours,1,0,6.7762,0.0265733333333333,0.1993,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5152,.,0,hours,1,0,7.0414,0.0276133333333333,0.2071,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5153,.,0,hours,1,0,7.3338,0.02876,0.2157,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5154,.,0,hours,1,0,7.3236,0.02872,0.2154,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5155,.,0,hours,1,0,6.63,0.026,0.195,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,34,5156,.,0,hours,1,0,7.1434,0.0280133333333333,0.2101,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5158,.,0,hours,1,0,13.0424,0.0255733333333333,0.1918,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5159,.,0,hours,1,0,13.5388,0.0265466666666667,0.1991,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5161,.,0,hours,1,0,12.75,0.025,0.1875,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5162,.,0,hours,1,0,13.8992,0.0272533333333333,0.2044,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5163,.,0,hours,1,0,14.1032,0.0276533333333333,0.2074,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5164,.,0,hours,1,0,13.328,0.0261333333333333,0.196,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5165,.,0,hours,1,0,12.7092,0.02492,0.1869,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5166,.,0,hours,1,0,13.532,0.0265333333333333,0.199,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5167,.,0,hours,1,0,13.056,0.0256,0.192,mg,1,Irinotecan,0,0470-2008,Rat,Male
Irinotecan,68,5168,.,0,hours,1,0,13.2668,0.0260133333333333,0.1951,mg,1,Irinotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5176,.,0,hours,1,0,1.575,0.07,0.21,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5177,.,0,hours,1,0,1.39125,0.0618333333333333,0.1855,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5178,.,0,hours,1,0,1.47975,0.0657666666666667,0.1973,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5179,.,0,hours,1,0,1.5315,0.0680666666666667,0.2042,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5180,.,0,hours,1,0,1.52025,0.0675666666666667,0.2027,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5181,.,0,hours,1,0,1.44225,0.0641,0.1923,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5182,.,0,hours,1,0,1.536,0.0682666666666667,0.2048,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5183,.,0,hours,1,0,1.413,0.0628,0.1884,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5184,.,0,hours,1,0,1.5075,0.067,0.201,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5185,.,0,hours,1,0,1.43025,0.0635666666666667,0.1907,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5186,.,0,hours,1,0,1.56375,0.0695,0.2085,mg,1,Topotecan,0,0470-2008,Rat,Male
Topotecan,7.5,5187,.,0,hours,1,0,1.44,0.064,0.192,mg,1,Topotecan,0,0470-2008,Rat,Male
Vinflunine,10,5188,.,0,hours,1,0,2.036,0.0339333333333333,0.2036,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5189,.,0,hours,1,0,2.2,0.0366666666666667,0.22,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5190,.,0,hours,1,0,2.145,0.03575,0.2145,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5191,.,0,hours,1,0,2.005,0.0334166666666667,0.2005,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5192,.,0,hours,1,0,2.11,0.0351666666666667,0.211,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5193,.,0,hours,1,0,2.146,0.0357666666666667,0.2146,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5194,.,0,hours,1,0,1.944,0.0324,0.1944,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5195,.,0,hours,1,0,2.112,0.0352,0.2112,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5196,.,0,hours,1,0,1.969,0.0328166666666667,0.1969,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5197,.,0,hours,1,0,1.903,0.0317166666666667,0.1903,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5198,.,0,hours,1,0,2.127,0.03545,0.2127,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,10,5199,.,0,hours,1,0,2.143,0.0357166666666667,0.2143,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5200,.,0,hours,1,0,3.988,0.0332333333333333,0.1994,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5201,.,0,hours,1,0,4.12,0.0343333333333333,0.206,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5202,.,0,hours,1,0,4.04,0.0336666666666667,0.202,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5203,.,0,hours,1,0,3.98,0.0331666666666667,0.199,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5204,.,0,hours,1,0,4.204,0.0350333333333333,0.2102,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5205,.,0,hours,1,0,4.084,0.0340333333333333,0.2042,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5206,.,0,hours,1,0,4.176,0.0348,0.2088,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5207,.,0,hours,1,0,3.96,0.033,0.198,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5208,.,0,hours,1,0,3.912,0.0326,0.1956,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5209,.,0,hours,1,0,4.162,0.0346833333333333,0.2081,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5210,.,0,hours,1,0,3.7,0.0308333333333333,0.185,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinflunine,20,5211,.,0,hours,1,0,4.332,0.0361,0.2166,mg,1,Vinflunine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,.,0,hours,1,0,1,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,550.266,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,197.242,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,109.897,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,58.008,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,36.909,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5323,23.329,18.33,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,.,0,hours,1,0,1,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,832.418,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,183.682,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,119.095,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,58.817,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,38.357,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5324,24.029,18.33,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,.,0,hours,1,0,1,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,390.269,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,158.162,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,107.207,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,58.744,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,30.701,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5325,16.913,18.33,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,.,0,hours,1,0,1,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,447.386,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,184.53,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,94.993,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,53.079,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,31.47,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5326,16.944,18.33,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,.,0,hours,1,0,1,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,439.526,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,188.675,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,134.332,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,70.096,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,38.727,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5327,27.237,18.33,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,.,0,hours,1,0,1,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,428.04,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,171.748,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,117.832,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,53.565,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,45.533,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,5,5328,23.517,18.33,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,.,0,hours,1,0,2,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,923.819,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,337.145,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,233.198,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,110.206,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,69.139,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5329,33.904,20,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,.,0,hours,1,0,2,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,1000.76,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,351.828,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,296.984,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,115.473,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,75.95,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5330,57.479,20,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,.,0,hours,1,0,2,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,658.599,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,313.19,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,210.255,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,100.197,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,63.785,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5331,37.719,20,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,.,0,hours,1,0,2,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,758.097,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,311.295,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,212.126,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,117.452,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,72.541,8.66,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5332,42.201,20,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5333,.,0,hours,1,0,2,0.0166666666666667,0.2,mg,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5333,919.127,0.083,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5333,317.678,0.25,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5333,248.717,0.666,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
Vinorelbine,10,5333,130.997,2.83,hours,0,0,.,.,0.2,ng/mL,1,Vinorelbine,0,0470-2008,Rat,Male
